link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20260497,20260497,Diepenbeek,3590,344000,HOUSE,HOUSE,3,167,0,0,,null,2,1,228,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/heer/5543/20167635,20167635,Heer,5543,119990,HOUSE,HOUSE,2,107,,0,null,125,3,0,337,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20221018,20221018,Diepenbeek,3590,445000,HOUSE,HOUSE,3,145,,0,,null,0,0,1207,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/11021845,11021845,Diepenbeek,3590,388725,HOUSE,HOUSE,3,175,,0,null,null,3,0,380,,,FOR_SALE
https://www.immoweb.be/en/classified/exceptional-property/for-sale/diepenbeek/3590/20255179,20255179,Diepenbeek,3590,397000,HOUSE,EXCEPTIONAL_PROPERTY,4,272,,0,,null,3,0,206,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/emines/5080/20183321,20183321,Émines,5080,309000,HOUSE,HOUSE,3,131,0,0,25,157,3,1,275,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20260496,20260496,Diepenbeek,3590,344000,HOUSE,HOUSE,3,167,0,0,,null,2,1,228,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/11284212,11284212,Diepenbeek,3590,420000,HOUSE,HOUSE,3,170,0,0,null,null,3,1,486,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/farmhouse/for-sale/herstappe/3717/20270421,20270421,Herstappe,3717,700000,HOUSE,FARMHOUSE,10,300,0,0,,null,4,0,2991,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/heer/5543/11021533,11021533,Heer,5543,206974,HOUSE,HOUSE,3,125,,0,null,null,4,0,1125,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gingelom/3891/11432173,11432173,Gingelom,3891,352000,HOUSE,HOUSE,3,176,,0,null,665,4,0,825,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/20021204,20021204,Diepenbeek,3590,289500,APARTMENT,APARTMENT,3,110,,0,5,null,2,1,,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/20230981,20230981,La Bruyère,5080,599000,HOUSE,HOUSE,5,273,0,0,,null,4,1,1670,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20260495,20260495,Diepenbeek,3590,344000,HOUSE,HOUSE,3,167,0,0,,null,2,1,228,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20266220,20266220,Diepenbeek,3590,399000,HOUSE,HOUSE,3,216,,0,,null,3,0,832,,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/20242227,20242227,La Bruyère,5080,385000,HOUSE,HOUSE,3,145,0,0,20,1400,4,1,1666,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gingelom/3891/20109704,20109704,GINGELOM,3891,335000,HOUSE,HOUSE,3,354,,0,null,null,4,0,1200,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20163603,20163603,Diepenbeek,3590,550000,HOUSE,HOUSE,4,242,0,0,,null,4,1,919,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/heer/5543/10639346,10639346,Heer,5543,120000,HOUSE,HOUSE,2,,,0,null,null,2,0,0,,,FOR_SALE
https://www.immoweb.be/en/classified/town-house/for-sale/hastiere/5543/20225554,20225554,Hastière,5543,249000,HOUSE,TOWN_HOUSE,3,210,,1,67,1300,0,1,610,,TO_RESTORE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/11284213,11284213,Diepenbeek,3590,430000,HOUSE,HOUSE,3,170,0,0,null,null,3,1,533,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/20259983,20259983,DIEPENBEEK,3590,464260,APARTMENT,APARTMENT,3,157,,0,20,null,2,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/11237681,11237681,La Bruyère,5080,695000,HOUSE,HOUSE,5,285,,0,,null,3,1,2913,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/warisoulx/5080/20228254,20228254,Warisoulx,5080,325000,HOUSE,HOUSE,4,142,0,1,30,null,3,0,250,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/buvingen/3891/10129606,10129606,BUVINGEN,3891,255000,HOUSE,HOUSE,4,292,,0,null,null,2,0,652,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/11091422,11091422,Diepenbeek,3590,329000,APARTMENT,APARTMENT,2,142,0,0,,null,3,1,,HYPER_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beverlo/3581/11335370,11335370,Beverlo,3581,485000,HOUSE,HOUSE,4,168,0,0,,953,4,1,1185,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/20204472,20204472,La Bruyère,5080,379000,HOUSE,HOUSE,3,173,,0,null,null,3,1,573,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/namur/5080/11484800,11484800,Namur,5080,399000,HOUSE,VILLA,3,162,0,0,59,696,4,0,1072,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/20069898,20069898,Diepenbeek,3590,440000,APARTMENT,APARTMENT,2,379,,0,null,null,,0,,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/20143404,20143404,La Bruyère,5080,349000,HOUSE,HOUSE,3,198,,0,,708,0,0,708,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/buvingen/3891/11489407,11489407,Buvingen,3891,340000,HOUSE,HOUSE,3,295,,0,null,null,0,0,1122,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/20220997,20220997,Diepenbeek,3590,299000,APARTMENT,APARTMENT,2,,,0,9,null,0,0,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/rhisnes/5080/11459234,11459234,Rhisnes,5080,345000,HOUSE,HOUSE,3,140,,0,1,1,3,1,581,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20142939,20142939,Diepenbeek,3590,445000,HOUSE,HOUSE,3,280,,0,28,null,0,0,1737,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beringen/3581/20199142,20199142,Beringen,3581,269000,HOUSE,HOUSE,3,150,,0,,null,4,0,555,HYPER_EQUIPPED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/castle/for-sale/rhisnes/5080/20149888,20149888,RHISNES,5080,1599999,HOUSE,CASTLE,41,,,0,null,null,4,0,0,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/rhisnes/5080/20248023,20248023,Rhisnes,5080,349000,HOUSE,HOUSE,3,172,,0,null,null,0,0,1300,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gingelom/3891/20189671,20189671,GINGELOM,3891,439000,HOUSE,HOUSE,3,242,,0,null,null,4,0,236,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/la-bruyere/5080/11381683,11381683,La Bruyère,5080,329000,HOUSE,VILLA,3,137,0,0,null,null,4,1,1900,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beringen/3581/11151257,11151257,BERINGEN,3581,230000,HOUSE,HOUSE,5,196,,0,,null,3,0,206,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/borlo/3891/20157091,20157091,BORLO,3891,300000,HOUSE,HOUSE,3,157,,0,null,null,3,0,275,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/11075430,11075430,Diepenbeek,3590,450000,HOUSE,HOUSE,4,,,0,null,null,4,0,0,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beringen/3581/20097163,20097163,Beringen,3581,334144,HOUSE,HOUSE,3,140,,0,null,null,3,1,535,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/la-bruyere/5080/10758491,10758491,La Bruyère,5080,299000,HOUSE,HOUSE,4,241,,0,null,null,0,0,485,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beverlo/3581/11332994,11332994,BEVERLO,3581,629000,HOUSE,HOUSE,4,251,,0,null,null,4,0,1009,INSTALLED,GOOD,FOR_SALE
